id,ent_origine,client,quantity,delivery_date,shipping_costs,delivery_state
70,13,8354,1.14,2020-4-8,0.0,livre
71,1,6623,5.84,2020-12-18,0.0,en cour
72,39,3540,8.8,2020-4-25,0.0,livre
73,18,2096,3.88,2020-7-11,0.0,livre
74,20,8977,0.04,2020-7-30,0.0,livre
75,46,5177,9.94,2020-11-12,0.0,livre
76,21,3260,0.92,2020-9-9,0.0,livre
77,25,8910,0.46,2020-10-29,0.0,livre
78,18,7158,6.87,2020-2-25,0.0,livre
79,9,7795,3.66,2020-8-23,0.0,livre
80,36,1542,5.75,2020-5-3,0.0,livre
81,46,2976,4.23,2020-1-1,0.0,livre
82,21,2164,7.79,2020-9-26,0.0,livre
83,43,3638,1.17,2020-6-5,0.0,livre
84,23,5861,8.32,2020-1-30,0.0,livre
85,27,5696,3.74,2020-8-24,0.0,livre
86,16,4979,6.39,2020-1-21,0.0,livre
87,15,1128,7.45,2020-1-24,0.0,livre
88,48,2596,6.13,2020-8-24,0.0,livre
89,46,3992,0.16,2020-2-9,0.0,livre
90,50,7442,1.97,2020-2-18,0.0,livre
91,21,3387,4.79,2020-11-22,0.0,livre
92,15,4401,8.74,2020-7-17,0.0,livre
93,26,5183,9.92,2020-10-9,0.0,livre
94,10,4940,5.85,2020-2-27,0.0,livre
95,49,3982,8.74,2020-3-8,0.0,livre
96,48,3793,9.06,2020-8-30,0.0,livre
97,22,8994,2.29,2020-6-9,0.0,livre
98,8,4781,8.84,2020-2-21,0.0,livre
99,44,3097,0.84,2020-3-21,0.0,livre
100,17,7155,0.36,2020-5-3,0.0,livre
101,12,7829,5.44,2020-1-9,0.0,livre
102,40,7488,4.34,2020-4-25,0.0,livre
103,50,8434,9.79,2020-12-29,0.0,en cour
104,8,6669,6.09,2020-5-26,0.0,livre
105,33,5247,1.2,2020-10-24,0.0,livre
106,49,5532,9.56,2020-6-8,0.0,livre
107,48,1261,4.06,2020-11-24,0.0,livre
108,37,5223,1.51,2020-8-5,0.0,livre
109,26,4527,5.16,2020-11-7,0.0,livre
110,15,7194,7.89,2020-3-22,0.0,livre
111,1,2113,9.53,2020-9-3,0.0,livre
112,38,2702,5.96,2020-12-9,0.0,en cour
113,30,1493,8.77,2020-4-7,0.0,livre
114,24,3272,1.79,2020-8-21,0.0,livre
115,46,8023,4.92,2020-7-14,0.0,livre
116,35,5775,8.63,2020-4-22,0.0,livre
117,8,6542,6.89,2020-8-12,0.0,livre
118,38,5112,2.69,2020-10-15,0.0,livre
119,26,6367,6.51,2020-10-18,0.0,livre
120,42,7243,3.46,2020-6-27,0.0,livre
121,3,1434,3.88,2020-2-14,0.0,livre
122,3,6133,4.19,2020-6-27,0.0,livre
123,11,3396,9.45,2020-11-21,0.0,livre
124,45,2890,3.04,2020-6-14,0.0,livre
125,4,3935,5.3,2020-4-18,0.0,livre
126,50,2201,9.26,2020-8-12,0.0,livre
127,43,1576,8.08,2020-9-7,0.0,livre
128,24,8557,9.98,2020-7-6,0.0,livre
129,14,8870,0.67,2020-7-26,0.0,livre
130,10,8739,2.28,2020-12-21,0.0,en cour
131,1,6567,8.75,2020-6-9,0.0,livre
132,42,6706,1.19,2020-9-21,0.0,livre
133,27,7438,7.35,2020-10-1,0.0,livre
134,19,5575,0.86,2020-3-2,0.0,livre
135,9,6633,0.69,2020-11-20,0.0,livre
136,34,7433,5.59,2020-10-3,0.0,livre
137,30,8259,2.63,2020-8-6,0.0,livre
138,30,2832,4.24,2020-2-3,0.0,livre
139,36,1979,1.17,2020-6-24,0.0,livre
140,37,3062,7.4,2020-5-11,0.0,livre
141,20,796,9.95,2020-1-24,0.0,livre
142,38,68,8.45,2020-5-2,0.0,livre
143,4,6173,8.85,2020-5-2,0.0,livre
144,4,3323,6.39,2020-8-11,0.0,livre
145,0,8788,9.18,2020-1-8,0.0,livre
146,20,5590,8.04,2020-10-28,0.0,livre
147,24,2187,1.94,2020-4-26,0.0,livre
148,9,2191,9.74,2020-9-4,0.0,livre
149,50,5361,4.78,2020-8-9,0.0,livre
150,1,4925,8.87,2020-2-2,0.0,livre
151,35,3953,0.28,2020-6-25,0.0,livre
152,14,7932,3.74,2020-12-17,0.0,en cour
153,44,99,4.24,2020-11-29,0.0,livre
154,46,808,6.82,2020-2-7,0.0,livre
155,9,7072,9.59,2020-4-19,0.0,livre
156,8,3937,9.84,2020-3-14,0.0,livre
157,29,3773,3.08,2020-9-25,0.0,livre
158,22,676,7.69,2020-2-28,0.0,livre
159,36,6926,4.77,2020-1-19,0.0,livre
160,37,900,5.69,2020-11-15,0.0,livre
161,38,5067,8.8,2020-3-24,0.0,livre
162,7,2894,0.8,2020-6-24,0.0,livre
163,42,7999,0.34,2020-3-17,0.0,livre
164,31,910,1.24,2020-5-6,0.0,livre
165,33,692,7.8,2020-12-26,0.0,en cour
166,50,2132,7.83,2020-2-29,0.0,livre
167,23,438,8.96,2020-9-8,0.0,livre
168,21,4930,9.5,2020-3-8,0.0,livre
169,2,8632,0.84,2020-12-22,0.0,en cour
170,10,2788,3.32,2020-1-7,0.0,livre
171,23,1290,7.87,2020-8-24,0.0,livre
172,2,5301,3.08,2020-9-7,0.0,livre
173,31,8191,5.91,2020-2-7,0.0,livre
174,12,6656,4.47,2020-10-13,0.0,livre
175,44,5465,7.84,2020-5-26,0.0,livre
176,48,859,8.71,2020-5-14,0.0,livre
177,36,4077,7.88,2020-5-21,0.0,livre
178,40,3324,5.51,2020-9-12,0.0,livre
179,48,2245,7.82,2020-8-27,0.0,livre
180,38,7440,10.0,2020-12-18,0.0,en cour
181,19,5272,9.17,2020-8-2,0.0,livre
182,42,2664,0.43,2020-5-28,0.0,livre
183,11,5696,6.85,2020-7-8,0.0,livre
184,24,2275,5.54,2020-1-21,0.0,livre
185,5,4483,5.02,2020-4-20,0.0,livre
186,49,1613,5.0,2020-3-4,0.0,livre
187,35,6887,0.82,2020-7-3,0.0,livre
188,41,7675,9.14,2020-8-21,0.0,livre
189,6,6018,8.85,2020-6-12,0.0,livre
190,12,572,3.65,2020-7-20,0.0,livre
191,7,5394,7.95,2020-2-10,0.0,livre
192,2,2438,2.26,2020-1-17,0.0,livre
193,34,6267,4.89,2020-5-24,0.0,livre
194,27,8324,5.33,2020-6-10,0.0,livre
195,38,5248,5.31,2020-12-13,0.0,en cour
196,49,8620,7.8,2020-3-4,0.0,livre
197,0,6780,2.48,2020-7-6,0.0,livre
198,16,7701,8.56,2020-7-27,0.0,livre
199,35,8268,7.65,2020-5-20,0.0,livre
200,14,7198,5.19,2020-2-21,0.0,livre
201,35,8927,2.77,2020-11-20,0.0,livre
202,16,4603,1.4,2020-11-2,0.0,livre
203,28,3462,1.11,2020-11-22,0.0,livre
204,35,3016,7.25,2020-9-9,0.0,livre
205,7,8796,0.49,2020-6-20,0.0,livre
206,40,2807,1.12,2020-7-8,0.0,livre
207,39,4983,2.27,2020-12-26,0.0,en cour
208,23,8488,1.77,2020-1-27,0.0,livre
209,3,3264,3.76,2020-1-14,0.0,livre
210,14,5869,7.9,2020-2-3,0.0,livre
211,45,5963,6.0,2020-3-29,0.0,livre
212,50,622,0.31,2020-9-29,0.0,livre
213,32,8759,0.26,2020-12-8,0.0,en cour
214,18,6911,5.67,2020-4-21,0.0,livre
215,6,5463,4.3,2020-3-20,0.0,livre
216,14,6905,6.38,2020-10-11,0.0,livre
217,25,450,2.67,2020-2-24,0.0,livre
218,0,542,2.18,2020-9-29,0.0,livre
219,21,3542,1.06,2020-7-28,0.0,livre
220,46,6684,2.37,2020-5-16,0.0,livre
221,12,8336,4.39,2020-9-30,0.0,livre
222,26,2705,3.4,2020-11-5,0.0,livre
223,30,7870,6.91,2020-12-11,0.0,en cour
224,0,1316,7.36,2020-10-1,0.0,livre
225,10,8836,9.06,2020-7-20,0.0,livre
226,14,3955,2.14,2020-11-25,0.0,livre
227,33,7745,3.43,2020-1-24,0.0,livre
228,23,3960,0.85,2020-9-13,0.0,livre
229,10,5555,6.44,2020-8-12,0.0,livre
230,1,4766,5.71,2020-4-28,0.0,livre
231,21,5950,1.79,2020-5-10,0.0,livre
232,46,6537,6.92,2020-12-20,0.0,en cour
233,25,3689,6.46,2020-7-9,0.0,livre
234,6,1376,1.58,2020-10-7,0.0,livre
235,33,3097,0.56,2020-2-24,0.0,livre
236,43,1299,3.46,2020-11-12,0.0,livre
237,32,1100,5.84,2020-2-7,0.0,livre
238,10,6565,6.81,2020-4-5,0.0,livre
239,50,5074,9.24,2020-6-15,0.0,livre
240,12,6086,8.1,2020-7-10,0.0,livre
241,18,775,5.58,2020-8-15,0.0,livre
242,6,6905,6.74,2020-10-28,0.0,livre
243,9,1228,6.4,2020-5-2,0.0,livre
244,35,6656,6.53,2020-9-22,0.0,livre
245,19,8838,3.75,2020-1-17,0.0,livre
246,45,1755,2.5,2020-8-28,0.0,livre
247,27,7578,7.32,2020-12-2,0.0,en cour
248,44,6707,7.42,2020-7-21,0.0,livre
249,7,4750,4.89,2020-3-28,0.0,livre
250,29,4037,7.97,2020-6-6,0.0,livre
251,45,4447,4.17,2020-3-6,0.0,livre
252,25,7950,0.65,2020-8-17,0.0,livre
253,11,2729,1.3,2020-5-4,0.0,livre
254,27,3827,3.27,2020-12-9,0.0,en cour
255,13,5956,1.93,2020-3-17,0.0,livre
256,25,1930,5.76,2020-8-21,0.0,livre
257,7,7332,7.82,2020-11-18,0.0,livre
258,7,6311,6.19,2020-2-8,0.0,livre
259,6,8912,7.0,2020-10-2,0.0,livre
260,20,2082,4.57,2020-6-18,0.0,livre
261,18,7585,5.69,2020-4-21,0.0,livre
262,40,3618,5.26,2020-10-30,0.0,livre
263,34,3819,8.49,2020-7-17,0.0,livre
264,14,5373,5.63,2020-8-14,0.0,livre
265,9,4337,2.62,2020-12-31,0.0,en cour
266,48,2728,5.49,2020-6-13,0.0,livre
267,26,1594,6.9,2020-6-20,0.0,livre
268,18,7095,6.23,2020-5-19,0.0,livre
269,5,8823,2.07,2020-2-11,0.0,livre
270,48,788,4.52,2020-9-3,0.0,livre
271,43,4886,2.94,2020-2-11,0.0,livre
272,36,3736,1.78,2020-2-20,0.0,livre
273,25,2464,5.26,2020-8-17,0.0,livre
274,6,5800,0.64,2020-9-19,0.0,livre
275,21,8889,4.38,2020-11-17,0.0,livre
276,11,579,5.04,2020-4-15,0.0,livre
277,25,7353,4.27,2020-11-2,0.0,livre
278,35,6735,5.22,2020-2-26,0.0,livre
279,24,5698,9.28,2020-2-19,0.0,livre
280,48,2290,1.48,2020-3-7,0.0,livre
281,40,6791,5.84,2020-12-14,0.0,en cour
282,44,7775,4.82,2020-1-20,0.0,livre
283,49,3413,0.32,2020-12-8,0.0,en cour
284,49,6415,4.72,2020-3-15,0.0,livre
285,11,2844,9.71,2020-9-21,0.0,livre
286,0,5003,6.07,2020-10-2,0.0,livre
287,50,1497,9.17,2020-6-9,0.0,livre
288,1,6689,9.41,2020-3-21,0.0,livre
289,12,2022,8.06,2020-11-2,0.0,livre
290,15,8998,1.12,2020-9-3,0.0,livre
291,40,7616,2.26,2020-1-4,0.0,livre
292,31,414,2.53,2020-4-1,0.0,livre
293,19,3375,5.59,2020-12-20,0.0,en cour
294,8,8955,1.68,2020-12-22,0.0,en cour
295,26,8381,5.34,2020-11-15,0.0,livre
296,47,4182,4.34,2020-5-22,0.0,livre
297,4,8886,8.78,2020-1-25,0.0,livre
298,35,982,5.96,2020-1-31,0.0,livre
299,40,8058,3.91,2020-6-5,0.0,livre
300,9,3337,1.41,2020-1-24,0.0,livre
301,43,6516,9.34,2020-10-2,0.0,livre
302,14,1536,2.79,2020-7-29,0.0,livre
303,38,2343,1.2,2020-9-22,0.0,livre
304,48,8598,2.94,2020-12-5,0.0,en cour
305,31,2291,0.48,2020-3-19,0.0,livre
306,9,547,6.95,2020-10-30,0.0,livre
307,33,8545,5.64,2020-7-17,0.0,livre
308,50,4207,9.73,2020-7-13,0.0,livre
309,11,2756,1.99,2020-1-26,0.0,livre
310,7,5671,0.98,2020-11-4,0.0,livre
311,22,6501,5.25,2020-11-24,0.0,livre
312,11,8052,3.2,2020-3-5,0.0,livre
313,33,5166,8.02,2020-8-24,0.0,livre
314,45,2591,3.8,2020-6-6,0.0,livre
315,11,1778,9.8,2020-12-28,0.0,en cour
316,37,7682,7.55,2020-9-19,0.0,livre
317,45,6025,3.78,2020-6-17,0.0,livre
318,40,8641,3.52,2020-11-28,0.0,livre
319,42,748,6.03,2020-3-21,0.0,livre
320,47,5826,4.92,2020-4-8,0.0,livre
321,4,701,6.6,2020-12-1,0.0,en cour
322,48,957,5.74,2020-11-29,0.0,livre
323,27,3612,0.76,2020-6-9,0.0,livre
324,11,1324,6.03,2020-4-5,0.0,livre
325,43,1257,8.55,2020-3-8,0.0,livre
326,24,1765,8.31,2020-5-10,0.0,livre
327,42,2,8.19,2020-1-20,0.0,livre
328,43,7119,3.52,2020-12-24,0.0,en cour
329,35,2054,6.17,2020-10-17,0.0,livre
330,43,8499,6.16,2020-8-15,0.0,livre
331,33,3341,5.9,2020-9-19,0.0,livre
332,32,6296,3.93,2020-3-21,0.0,livre
333,35,3474,9.9,2020-9-27,0.0,livre
334,29,6279,3.92,2020-10-14,0.0,livre
335,37,444,6.64,2020-8-28,0.0,livre
336,39,8752,0.05,2020-8-7,0.0,livre
337,9,5438,7.58,2020-3-17,0.0,livre
338,14,2021,4.01,2020-1-16,0.0,livre
339,6,418,7.21,2020-5-20,0.0,livre
340,1,2242,6.28,2020-12-20,0.0,en cour
341,2,6104,5.76,2020-4-15,0.0,livre
342,1,906,9.0,2020-10-28,0.0,livre
343,23,4827,6.92,2020-2-14,0.0,livre
344,2,8720,1.55,2020-2-21,0.0,livre
345,32,6589,1.21,2020-3-18,0.0,livre
346,46,1243,8.45,2020-4-20,0.0,livre
347,31,2992,6.76,2020-6-6,0.0,livre
348,6,3015,1.98,2020-3-22,0.0,livre
349,3,2375,6.77,2020-8-14,0.0,livre
350,17,8579,8.88,2020-1-3,0.0,livre
351,36,4673,3.6,2020-2-9,0.0,livre
352,32,8980,7.01,2020-6-22,0.0,livre
353,14,3583,6.39,2020-3-30,0.0,livre
354,42,7868,0.37,2020-1-30,0.0,livre
355,25,3802,6.58,2020-6-6,0.0,livre
356,36,3609,5.34,2020-11-29,0.0,livre
357,5,5970,9.46,2020-9-14,0.0,livre
358,44,6856,4.03,2020-11-21,0.0,livre
359,21,8240,5.37,2020-9-16,0.0,livre
360,0,6525,3.51,2020-4-27,0.0,livre
361,14,1967,4.04,2020-3-8,0.0,livre
362,26,1789,0.82,2020-4-4,0.0,livre
363,27,5558,5.82,2020-2-6,0.0,livre
364,18,4282,2.41,2020-10-26,0.0,livre
365,48,5602,3.18,2020-3-8,0.0,livre
366,36,5722,3.28,2020-2-8,0.0,livre
367,36,1010,9.04,2020-11-26,0.0,livre
368,34,5194,9.7,2020-8-5,0.0,livre
369,22,8505,4.85,2020-5-9,0.0,livre
370,6,7523,7.4,2020-3-27,0.0,livre
371,37,664,5.57,2020-2-2,0.0,livre
372,44,4374,2.43,2020-9-4,0.0,livre
373,24,5366,9.12,2020-3-11,0.0,livre
374,1,5180,1.21,2020-3-28,0.0,livre
375,18,8188,1.13,2020-11-9,0.0,livre
376,27,1609,6.24,2020-8-30,0.0,livre
377,34,1915,9.38,2020-5-18,0.0,livre
378,48,3288,7.41,2020-6-13,0.0,livre
379,34,7295,6.79,2020-9-29,0.0,livre
380,1,8934,9.9,2020-5-8,0.0,livre
381,47,3713,1.93,2020-10-5,0.0,livre
382,27,5175,9.42,2020-2-14,0.0,livre
383,0,5058,6.62,2020-1-25,0.0,livre
384,3,8648,8.1,2020-8-16,0.0,livre
385,7,116,1.71,2020-9-4,0.0,livre
386,0,1712,1.95,2020-1-8,0.0,livre
387,0,886,1.0,2020-4-14,0.0,livre
388,3,6770,1.21,2020-2-9,0.0,livre
389,40,7938,5.2,2020-2-24,0.0,livre
390,14,5401,2.07,2020-8-11,0.0,livre
391,37,2989,7.44,2020-4-6,0.0,livre
392,41,6648,3.91,2020-5-29,0.0,livre
393,11,2172,9.7,2020-11-16,0.0,livre
394,12,8098,3.19,2020-7-15,0.0,livre
395,1,2492,1.77,2020-2-8,0.0,livre
396,17,7106,8.43,2020-5-26,0.0,livre
397,28,2162,9.61,2020-7-21,0.0,livre
398,6,7758,1.13,2020-4-13,0.0,livre
399,28,8958,5.02,2020-12-16,0.0,en cour
400,45,5467,3.42,2020-11-3,0.0,livre
401,31,4228,0.22,2020-9-21,0.0,livre
402,40,1639,2.67,2020-7-14,0.0,livre
403,46,5769,8.0,2020-1-11,0.0,livre
404,35,8117,8.61,2020-4-21,0.0,livre
405,13,7860,1.19,2020-10-4,0.0,livre
406,18,4317,2.88,2020-10-9,0.0,livre
407,34,4045,0.07,2020-12-13,0.0,en cour
408,40,5845,2.73,2020-4-27,0.0,livre
409,49,7086,1.42,2020-4-10,0.0,livre
410,28,5927,6.76,2020-12-8,0.0,en cour
411,31,4576,0.75,2020-5-26,0.0,livre
412,43,4196,8.17,2020-10-2,0.0,livre
413,33,7306,7.25,2020-6-18,0.0,livre
414,33,4652,2.51,2020-6-25,0.0,livre
415,3,3830,9.75,2020-3-30,0.0,livre
416,37,6700,5.08,2020-11-20,0.0,livre
417,19,2164,6.36,2020-7-24,0.0,livre
418,18,5397,1.38,2020-8-28,0.0,livre
419,30,8773,8.4,2020-1-24,0.0,livre
420,4,2883,1.14,2020-1-30,0.0,livre
421,48,7833,7.47,2020-7-4,0.0,livre
422,39,7968,1.8,2020-2-24,0.0,livre
423,6,6361,9.94,2020-3-14,0.0,livre
424,8,7206,8.1,2020-3-30,0.0,livre
425,20,8451,9.33,2020-5-11,0.0,livre
426,24,4938,9.84,2020-8-3,0.0,livre
427,11,8340,6.69,2020-7-18,0.0,livre
428,44,1893,4.12,2020-1-5,0.0,livre
429,37,2655,9.6,2020-3-17,0.0,livre
430,30,8301,9.7,2020-7-21,0.0,livre
431,37,8589,7.72,2020-1-25,0.0,livre
432,25,3193,8.46,2020-7-24,0.0,livre
433,26,5092,4.72,2020-3-11,0.0,livre
434,50,3181,8.15,2020-1-7,0.0,livre
435,35,5282,9.32,2020-2-4,0.0,livre
436,8,1256,6.84,2020-11-21,0.0,livre
437,22,5108,9.84,2020-3-17,0.0,livre
438,26,8797,4.77,2020-6-13,0.0,livre
439,6,3817,6.68,2020-4-7,0.0,livre
440,2,2489,1.08,2020-5-15,0.0,livre
441,6,451,8.77,2020-4-15,0.0,livre
442,10,19,9.16,2020-2-17,0.0,livre
443,7,6109,0.04,2020-2-25,0.0,livre
444,34,3573,8.46,2020-7-11,0.0,livre
445,35,7901,1.76,2020-4-27,0.0,livre
446,18,5059,3.12,2020-5-14,0.0,livre
447,47,7654,1.07,2020-2-23,0.0,livre
448,47,1182,7.36,2020-6-3,0.0,livre
449,31,823,2.55,2020-4-24,0.0,livre
450,15,4408,1.31,2020-6-10,0.0,livre
451,30,7715,5.06,2020-1-2,0.0,livre
452,9,1007,3.63,2020-1-26,0.0,livre
453,22,2575,9.65,2020-1-30,0.0,livre
454,14,4641,0.21,2020-4-26,0.0,livre
455,23,1306,8.49,2020-5-30,0.0,livre
456,13,6022,7.46,2020-7-17,0.0,livre
457,21,4614,0.76,2020-2-16,0.0,livre
458,21,4217,9.09,2020-12-18,0.0,en cour
459,43,5684,2.85,2020-7-19,0.0,livre
460,33,4032,3.18,2020-7-28,0.0,livre
461,38,2566,6.71,2020-5-23,0.0,livre
462,5,7691,4.69,2020-9-26,0.0,livre
463,23,3340,7.43,2020-5-4,0.0,livre
464,26,2050,2.83,2020-6-18,0.0,livre
465,22,3628,3.46,2020-5-9,0.0,livre
466,3,8422,3.31,2020-1-22,0.0,livre
467,34,7556,9.3,2020-5-1,0.0,livre
468,31,5597,4.12,2020-10-18,0.0,livre
469,21,3647,5.32,2020-3-29,0.0,livre
470,5,8903,8.31,2020-1-23,0.0,livre
471,2,6855,7.28,2020-6-5,0.0,livre
472,32,8435,6.18,2020-6-8,0.0,livre
473,29,1996,6.22,2020-4-20,0.0,livre
474,9,7237,7.53,2020-9-21,0.0,livre
475,49,2928,3.3,2020-5-12,0.0,livre
476,29,7044,5.92,2020-10-4,0.0,livre
477,13,8577,8.49,2020-11-3,0.0,livre
478,35,3509,3.14,2020-11-7,0.0,livre
479,21,8224,0.19,2020-9-20,0.0,livre
480,37,6899,1.25,2020-4-21,0.0,livre
481,16,425,4.9,2020-3-14,0.0,livre
482,19,2540,8.51,2020-7-24,0.0,livre
483,5,4763,1.48,2020-11-12,0.0,livre
484,2,5162,4.76,2020-3-19,0.0,livre
485,34,6904,5.77,2020-10-19,0.0,livre
486,16,603,9.52,2020-12-12,0.0,en cour
487,25,5453,4.92,2020-3-28,0.0,livre
488,15,1576,3.81,2020-3-22,0.0,livre
489,20,7012,7.99,2020-9-12,0.0,livre
490,50,6018,0.27,2020-9-5,0.0,livre
491,23,7508,2.48,2020-3-12,0.0,livre
492,49,6828,9.59,2020-6-25,0.0,livre
493,35,777,2.54,2020-11-13,0.0,livre
494,2,2221,1.55,2020-8-16,0.0,livre
495,36,4790,3.89,2020-5-15,0.0,livre
496,3,6566,4.29,2020-4-28,0.0,livre
497,37,8111,2.12,2020-4-17,0.0,livre
498,12,7143,8.23,2020-4-30,0.0,livre
499,45,6265,1.62,2020-11-19,0.0,livre
500,4,7333,5.86,2020-5-26,0.0,livre
501,16,3655,3.3,2020-2-27,0.0,livre
502,27,4032,3.96,2020-10-11,0.0,livre
503,32,6394,8.37,2020-8-28,0.0,livre
504,35,5653,2.08,2020-1-26,0.0,livre
505,19,3911,3.75,2020-2-18,0.0,livre
506,0,4894,2.45,2020-6-28,0.0,livre
507,14,189,0.82,2020-5-21,0.0,livre
508,6,4167,7.13,2020-8-14,0.0,livre
509,49,8821,8.06,2020-4-10,0.0,livre
510,47,5016,8.38,2020-2-21,0.0,livre
511,4,6893,8.95,2020-10-4,0.0,livre
512,25,3740,7.42,2020-4-23,0.0,livre
513,37,3232,0.51,2020-8-6,0.0,livre
514,37,7462,9.67,2020-11-11,0.0,livre
515,31,3410,8.47,2020-4-13,0.0,livre
516,18,6444,9.19,2020-2-20,0.0,livre
517,32,883,4.73,2020-1-3,0.0,livre
518,10,820,1.3,2020-12-18,0.0,en cour
519,7,3586,2.03,2020-8-11,0.0,livre
520,4,4316,5.97,2020-10-30,0.0,livre
521,40,378,3.73,2020-7-9,0.0,livre
522,11,7326,1.86,2020-5-4,0.0,livre
523,14,702,6.63,2020-4-26,0.0,livre
524,30,370,6.02,2020-7-28,0.0,livre
525,14,8024,2.74,2020-7-18,0.0,livre
526,0,8762,0.18,2020-11-18,0.0,livre
527,43,1266,2.37,2020-4-14,0.0,livre
528,12,6921,9.85,2020-6-1,0.0,livre
529,47,4721,4.64,2020-8-16,0.0,livre
530,30,2812,3.35,2020-7-17,0.0,livre
531,43,4249,0.35,2020-8-14,0.0,livre
532,15,2758,1.69,2020-9-23,0.0,livre
533,27,7182,4.83,2020-1-27,0.0,livre
534,20,8376,4.92,2020-3-6,0.0,livre
535,11,7510,3.28,2020-1-16,0.0,livre
536,31,6396,2.07,2020-8-23,0.0,livre
537,2,1824,6.97,2020-1-27,0.0,livre
538,36,6241,5.53,2020-6-19,0.0,livre
539,31,2135,1.79,2020-7-28,0.0,livre
540,13,2451,7.95,2020-8-28,0.0,livre
541,8,3823,5.67,2020-7-2,0.0,livre
542,13,7450,9.19,2020-12-3,0.0,en cour
543,10,3398,4.42,2020-7-15,0.0,livre
544,29,7134,8.13,2020-6-4,0.0,livre
545,6,7533,3.93,2020-6-2,0.0,livre
546,37,3183,1.06,2020-3-22,0.0,livre
547,46,5664,8.11,2020-8-8,0.0,livre
548,16,1007,9.8,2020-9-4,0.0,livre
549,33,1468,8.51,2020-5-1,0.0,livre
550,2,784,4.8,2020-12-21,0.0,en cour
551,3,8944,8.27,2020-8-28,0.0,livre
552,19,6368,9.45,2020-4-2,0.0,livre
553,47,2830,7.85,2020-7-30,0.0,livre
554,22,5855,6.27,2020-2-19,0.0,livre
555,0,1350,7.95,2020-7-30,0.0,livre
556,14,2286,2.13,2020-7-16,0.0,livre
